Date,Price,Open,High,Low,Vol.,Change %
02/02/2021,23.52,23.8,24.0,23.2,54.06K,-1.26%
02/01/2021,23.82,23.05,24.24,23.02,929.86K,1.58%
01/31/2021,23.45,22.8,23.91,22.6,544.27K,3.85%
01/27/2021,22.58,21.79,23.0,21.45,808.73K,4.88%
01/26/2021,21.53,21.67,21.67,21.41,54.82K,-0.65%
01/25/2021,21.67,21.5,21.9,21.5,56.41K,-1.32%
01/24/2021,21.96,21.99,22.0,21.7,193.82K,-0.14%
01/21/2021,21.99,21.51,22.3,21.5,534.92K,0.09%
01/20/2021,21.97,21.06,22.4,21.06,1.06M,2.86%
01/19/2021,21.36,20.9,21.5,20.9,448.47K,1.52%
01/18/2021,21.04,21.52,21.7,20.7,443.69K,-2.00%
01/17/2021,21.47,20.74,21.7,20.74,1.15M,4.22%
01/14/2021,20.6,20.7,20.74,20.45,245.97K,0.68%
01/13/2021,20.46,20.1,20.67,20.0,902.46K,1.79%
01/12/2021,20.1,20.0,20.59,19.95,876.90K,0.40%
01/11/2021,20.02,20.07,20.1,19.91,122.48K,-0.50%
01/10/2021,20.12,20.85,20.85,19.81,892.37K,-2.66%
01/06/2021,20.67,20.54,20.85,20.52,672.30K,0.98%
01/05/2021,20.47,20.59,20.6,20.21,418.86K,-0.68%
01/04/2021,20.61,20.85,20.85,20.3,130.35K,-0.82%
01/03/2021,20.78,20.73,21.0,20.65,85.05K,0.48%
12/31/2020,20.68,20.22,20.7,20.22,870.18K,0.98%
12/30/2020,20.48,20.51,20.71,20.36,390.42K,-0.15%
12/29/2020,20.51,20.4,20.69,20.16,408.90K,0.00%
12/28/2020,20.51,20.22,20.73,20.04,40.04K,0.69%
12/27/2020,20.37,20.33,20.8,20.3,19.90K,-2.30%
12/24/2020,20.85,20.62,20.9,20.62,78.30K,0.63%
12/23/2020,20.72,20.65,20.84,20.6,337.77K,-0.05%
12/22/2020,20.73,20.3,20.97,20.3,330.90K,0.24%
12/21/2020,20.68,21.2,21.2,19.71,517.68K,-4.92%
12/20/2020,21.75,20.99,22.49,20.99,1.02M,5.48%
12/17/2020,20.62,20.8,20.8,20.01,920.62K,0.10%
12/16/2020,20.6,20.61,20.98,20.5,19.71K,-1.90%
12/15/2020,21.0,21.0,21.2,20.75,981.03K,0.96%
12/14/2020,20.8,21.25,21.25,20.75,652.99K,-0.05%
12/13/2020,20.81,20.54,21.0,20.25,707.48K,-0.90%
12/10/2020,21.0,21.01,21.3,20.5,288.82K,-0.28%
12/09/2020,21.06,21.75,21.75,21.0,235.17K,-1.54%
12/08/2020,21.39,21.47,21.51,21.25,353.39K,0.66%
12/07/2020,21.25,21.9,21.9,21.0,275.37K,-2.25%
12/06/2020,21.74,20.4,22.34,20.05,1.04M,7.04%
12/03/2020,20.31,19.9,20.4,19.7,58.89K,1.50%
12/02/2020,20.01,20.17,20.17,19.85,109.10K,-0.35%
12/01/2020,20.08,20.1,20.49,20.0,166.32K,-1.23%
11/30/2020,20.33,20.01,20.5,20.01,251.72K,-0.68%
11/29/2020,20.47,20.7,21.0,20.0,316.20K,-1.16%
11/26/2020,20.71,20.86,21.21,20.0,646.70K,2.58%
11/25/2020,20.19,19.61,20.9,19.61,404.79K,1.76%
11/24/2020,19.84,19.9,20.0,19.5,145.51K,0.66%
11/23/2020,19.71,19.5,19.88,19.5,255.85K,1.86%
11/22/2020,19.35,19.26,19.57,19.21,28.61K,-1.23%
11/19/2020,19.59,19.7,19.9,19.5,261.44K,-1.11%
11/18/2020,19.81,20.1,20.1,19.57,60.06K,-0.95%
11/17/2020,20.0,19.72,20.1,19.72,2.15M,2.88%
11/16/2020,19.44,19.25,19.7,19.25,523.88K,1.09%
11/15/2020,19.23,19.25,19.3,19.0,339.95K,0.94%
11/12/2020,19.05,18.89,19.2,18.81,120.37K,1.33%
11/11/2020,18.8,19.0,19.0,18.71,121.49K,-0.16%
11/10/2020,18.83,18.56,19.0,18.56,581.49K,1.18%
11/09/2020,18.61,18.46,18.8,18.46,194.50K,0.81%
11/08/2020,18.46,18.6,18.7,18.15,88.76K,-0.54%
11/05/2020,18.56,18.5,18.71,18.3,230.87K,-0.54%
11/04/2020,18.66,18.5,18.85,18.5,377.36K,2.08%
11/03/2020,18.28,17.97,18.84,17.89,595.41K,1.95%
11/02/2020,17.93,16.98,18.3,16.97,2.38M,6.66%
11/01/2020,16.81,16.9,16.9,16.66,84.37K,-2.21%
10/28/2020,17.19,17.39,17.4,17.0,253.15K,0.53%
10/27/2020,17.1,16.7,17.2,16.7,258.75K,2.33%
10/26/2020,16.71,16.74,17.0,16.5,179.49K,0.84%
10/25/2020,16.57,16.51,17.0,16.25,87.70K,-2.07%
10/22/2020,16.92,17.1,17.45,16.53,417.96K,-2.48%
10/21/2020,17.35,17.12,17.58,17.1,353.19K,1.52%
10/20/2020,17.09,17.38,17.5,16.85,288.73K,-4.95%
10/19/2020,17.98,18.14,18.14,17.85,310.12K,0.06%
10/18/2020,17.97,17.99,18.1,17.8,222.50K,-0.33%
10/15/2020,18.03,18.3,18.3,17.95,241.12K,-0.93%
10/14/2020,18.2,17.97,18.49,17.84,147.48K,1.28%
10/13/2020,17.97,18.1,18.3,17.79,1.16M,-2.28%
10/12/2020,18.39,18.89,18.9,18.0,1.10M,-2.02%
10/11/2020,18.77,18.92,18.97,18.61,179.02K,-0.85%
10/07/2020,18.93,19.17,19.5,18.7,594.42K,0.11%
10/06/2020,18.91,19.19,19.4,18.8,579.41K,-0.42%
10/05/2020,18.99,19.15,19.25,18.7,496.48K,-1.91%
10/04/2020,19.36,19.0,19.7,18.93,66.34K,-0.87%
10/01/2020,19.53,19.74,19.75,19.49,837.27K,1.03%
09/30/2020,19.33,19.34,19.5,19.2,400.77K,-0.05%
09/29/2020,19.34,19.69,19.69,19.1,129.37K,1.15%
09/28/2020,19.12,19.75,19.75,19.0,919.41K,-3.77%
09/27/2020,19.87,20.33,20.46,19.7,230.97K,-2.21%
09/24/2020,20.32,19.75,20.9,19.75,2.93M,2.11%
09/23/2020,19.9,20.2,20.25,19.5,776.09K,0.30%
09/22/2020,19.84,18.66,20.1,18.56,2.75M,5.08%
09/21/2020,18.88,19.03,19.5,18.4,820.90K,-0.74%
09/20/2020,19.02,18.8,19.25,18.75,428.72K,0.21%
09/17/2020,18.98,19.17,19.2,18.75,1.98M,-0.68%
09/16/2020,19.11,18.89,19.3,18.89,871.80K,1.76%
09/15/2020,18.78,18.45,18.94,18.45,525.43K,2.23%
09/14/2020,18.37,18.7,18.7,18.0,110.81K,-1.76%
09/13/2020,18.7,18.94,19.08,18.5,539.29K,-1.27%
09/10/2020,18.94,18.6,19.2,18.55,936.06K,4.70%
09/09/2020,18.09,17.5,18.6,17.35,828.18K,2.32%
09/08/2020,17.68,18.0,18.0,17.05,567.25K,-2.54%
09/07/2020,18.14,18.0,18.29,17.8,414.41K,1.51%
09/06/2020,17.87,18.23,18.23,17.66,569.55K,-2.08%
09/03/2020,18.25,17.9,18.6,17.82,812.42K,2.24%
09/02/2020,17.85,17.75,18.0,17.6,1.45M,0.39%
09/01/2020,17.78,17.62,17.93,17.5,645.88K,0.00%
08/31/2020,17.78,17.88,18.0,17.6,104.52K,-1.39%
08/30/2020,18.03,17.8,18.5,17.5,613.17K,0.84%
08/27/2020,17.88,17.82,18.0,17.65,246.83K,0.45%
08/26/2020,17.8,18.0,18.0,17.65,974.76K,-0.84%
08/25/2020,17.95,18.5,18.5,17.75,292.43K,-3.65%
08/24/2020,18.63,18.5,18.9,18.5,345.58K,2.08%
08/23/2020,18.25,17.92,18.5,17.92,552.28K,1.84%
08/19/2020,17.92,18.06,18.36,17.76,430.92K,-0.83%
08/18/2020,18.07,18.55,18.55,17.9,462.73K,-1.95%
08/17/2020,18.43,18.17,18.79,18.17,194.02K,-3.10%
08/16/2020,19.02,18.16,19.55,18.16,1.43M,6.26%
08/13/2020,17.9,17.51,18.01,17.5,622.62K,1.02%
08/12/2020,17.72,17.84,18.07,17.41,411.15K,1.72%
08/11/2020,17.42,17.38,17.8,16.8,629.17K,2.23%
08/10/2020,17.04,16.04,17.38,16.04,1.53M,7.10%
08/09/2020,15.91,15.48,16.4,15.35,904.34K,5.02%
08/06/2020,15.15,15.0,15.4,15.0,352.59K,1.34%
08/05/2020,14.95,14.95,15.15,14.83,618.16K,0.27%
08/04/2020,14.91,14.95,15.0,14.88,22.75K,-0.13%
07/29/2020,14.93,14.82,15.0,14.82,192.34K,-0.33%
07/28/2020,14.98,14.86,15.0,14.85,178.03K,-0.13%
07/27/2020,15.0,15.0,15.3,14.87,164.01K,-1.19%
07/26/2020,15.18,14.7,15.5,14.7,564.73K,3.27%
07/22/2020,14.7,14.75,14.85,14.6,70.18K,-0.81%
07/21/2020,14.82,15.02,15.03,14.66,104.88K,-1.20%
07/20/2020,15.0,15.0,15.06,14.88,572.33K,1.42%
07/19/2020,14.79,15.0,15.07,14.5,580.04K,0.82%
07/16/2020,14.67,14.55,15.05,14.4,251.72K,1.45%
07/15/2020,14.46,15.2,15.25,14.0,530.65K,-4.74%
07/14/2020,15.18,15.9,15.9,14.9,639.46K,-4.47%
07/13/2020,15.89,15.99,16.0,15.7,2.86M,0.63%
07/12/2020,15.79,15.3,16.17,15.11,1.02M,5.90%
07/09/2020,14.91,14.9,15.19,14.7,404.89K,-1.84%
07/08/2020,15.19,15.37,15.61,14.9,592.54K,-1.87%
07/07/2020,15.48,15.25,15.69,15.2,666.69K,2.38%
07/06/2020,15.12,14.55,15.31,14.53,956.33K,2.51%
07/05/2020,14.75,14.86,14.86,14.53,648.19K,2.15%
06/30/2020,14.44,14.3,14.75,14.3,238.49K,0.42%
06/29/2020,14.38,14.4,14.5,14.2,154.07K,-0.21%
06/28/2020,14.41,14.5,14.5,14.3,38.67K,-1.77%
06/25/2020,14.67,14.85,14.85,14.32,549.23K,-1.08%
06/24/2020,14.83,14.59,15.03,14.46,892.50K,3.49%
06/23/2020,14.33,14.35,14.81,14.0,1.97M,-0.07%
06/22/2020,14.34,14.35,14.41,14.2,945.35K,-0.28%
06/21/2020,14.38,14.11,14.69,14.0,1.22M,1.05%
06/18/2020,14.23,14.3,14.37,14.13,956.78K,-0.28%
06/17/2020,14.27,14.38,14.4,14.1,1.30M,-1.04%
06/16/2020,14.42,14.75,14.95,14.12,1.13M,0.07%
06/15/2020,14.41,14.15,14.8,13.82,2.58M,3.45%
06/14/2020,13.93,13.42,14.28,13.27,2.35M,2.96%
06/11/2020,13.53,13.46,13.6,13.46,525.82K,-0.73%
06/10/2020,13.63,13.52,13.79,13.45,917.46K,0.29%
06/09/2020,13.59,13.91,13.95,13.37,1.15M,-2.44%
06/08/2020,13.93,14.06,14.29,13.7,2.05M,-0.92%
06/07/2020,14.06,13.9,14.25,13.83,1.91M,3.69%
06/04/2020,13.56,13.44,13.75,13.2,6.27M,3.59%
06/03/2020,13.09,12.9,13.48,12.81,6.13M,1.95%
06/02/2020,12.84,12.72,12.99,12.68,2.89M,3.13%
06/01/2020,12.45,12.25,13.07,12.0,10.11M,1.63%
05/31/2020,12.25,12.1,12.46,12.1,1.20M,2.42%
05/21/2020,11.96,11.75,12.08,11.7,1.62M,1.96%
05/20/2020,11.73,11.81,11.81,11.65,863.03K,-1.18%
05/19/2020,11.87,11.9,12.0,11.8,1.18M,1.02%
05/18/2020,11.75,11.96,11.96,11.6,919.70K,-1.51%
05/17/2020,11.93,11.97,12.05,11.8,664.32K,-0.33%
05/14/2020,11.97,11.65,12.29,11.6,3.19M,2.22%
05/13/2020,11.71,12.15,12.23,11.25,4.14M,-3.86%
05/12/2020,12.18,12.38,12.5,12.0,5.48M,2.35%
05/11/2020,11.9,13.17,13.17,11.61,4.21M,-7.75%
05/10/2020,12.9,13.8,13.85,12.5,722.38K,-5.98%
05/07/2020,13.72,14.2,14.2,13.4,973.84K,-4.66%
05/06/2020,14.39,14.75,14.75,14.05,481.71K,-1.24%
05/05/2020,14.57,14.86,14.98,14.4,300.00K,-1.82%
05/04/2020,14.84,15.1,15.1,14.68,228.32K,0.00%
05/03/2020,14.84,15.38,15.38,14.04,896.62K,-4.87%
04/30/2020,15.6,15.71,15.94,15.35,528.50K,-1.58%
04/29/2020,15.85,16.24,16.3,15.5,830.25K,-2.52%
04/28/2020,16.26,16.25,16.68,15.95,663.62K,1.50%
04/27/2020,16.02,15.95,16.2,15.8,298.40K,0.19%
04/26/2020,15.99,16.0,16.28,15.84,156.17K,1.46%
04/23/2020,15.76,15.31,16.01,15.31,443.67K,2.80%
04/22/2020,15.33,15.41,15.59,15.18,437.85K,-1.03%
04/21/2020,15.49,15.6,15.6,15.4,74.90K,-3.43%
04/16/2020,16.04,15.81,16.2,15.8,199.32K,0.00%
04/15/2020,16.04,16.58,16.58,15.8,92.64K,-1.66%
04/14/2020,16.31,15.83,16.6,15.83,537.35K,5.98%
04/13/2020,15.39,15.36,15.59,14.97,149.02K,2.40%
04/12/2020,15.03,15.07,15.19,14.9,20.16K,-1.44%
04/09/2020,15.25,15.3,15.43,15.02,87.57K,0.79%
04/08/2020,15.13,15.55,15.7,15.0,1.02M,-2.76%
04/07/2020,15.56,15.5,15.74,15.22,368.48K,3.60%
04/06/2020,15.02,15.86,15.86,14.99,135.42K,-1.51%
04/05/2020,15.25,15.49,15.5,15.04,2.00K,-2.31%
04/02/2020,15.61,15.98,16.0,15.41,30.61K,1.50%
04/01/2020,15.38,15.38,15.65,15.14,8.74K,-3.63%
03/31/2020,15.96,15.84,16.25,15.31,33.46K,3.37%
03/30/2020,15.44,16.0,16.0,15.35,17.05K,-5.51%
03/29/2020,16.34,16.3,16.6,15.9,39.33K,2.83%
03/26/2020,15.89,15.75,16.63,15.5,330.77K,5.09%
03/25/2020,15.12,14.9,15.35,14.8,474.75K,4.49%
03/24/2020,14.47,14.7,14.7,14.2,339.58K,-0.96%
03/23/2020,14.61,14.85,14.9,14.2,561.84K,7.82%
03/22/2020,13.55,12.7,13.59,12.36,323.50K,9.63%
03/19/2020,12.36,11.68,13.18,10.85,92.15K,3.09%
